ID,Pay_Date,Pay_Amount
PI0396,2018-07-15,265.13
PI0427,2018-07-15,159.46
PI0432,2018-07-15,349.73
PI0442,2018-07-15,126.96
PI0488,2018-07-15,148.27
PI0493,2018-07-15,247.62
PI0503,2018-07-15,208.06
PI0510,2018-07-15,181.04
PI0520,2018-07-15,136.12
PI0525,2018-07-15,157.54
PI0547,2018-07-15,244.82
PI0568,2018-07-15,169.24
PI0581,2018-07-15,202.91
PI0591,2018-07-15,213.05
PI0609,2018-07-15,184
PI0622,2018-07-15,96.39
PI0652,2018-07-15,164.7
PI0660,2018-07-15,239.93
PI0671,2018-07-15,101.16
PI0717,2018-07-15,267.21
PI0735,2018-07-15,299.43
PI0743,2018-07-15,345.46
PI0766,2018-07-15,107.28
PI0770,2018-07-15,177.98
PI0783,2018-07-15,115.26
PI0798,2018-07-15,187.35
PI0809,2018-07-15,312.3
PI0810,2018-07-15,168.95
PI0864,2018-07-15,164.53
PI0881,2018-07-15,256.67
PI0889,2018-07-15,209.96
PI0914,2018-07-15,362.3
PI0918,2018-07-15,248.28
PI0927,2018-07-15,109.5
PI0932,2018-07-15,167.37
PI0969,2018-07-15,141.72
PI1021,2018-07-15,193.29
PI1042,2018-07-15,191.39
PI1060,2018-07-15,139.28
PI1080,2018-07-15,118.24
PI1122,2018-07-15,240.86
PI1125,2018-07-15,176.45
PI1134,2018-07-15,249.75
PI1142,2018-07-15,217.38
PI1173,2018-07-15,122.3
PI1175,2018-07-15,198.35
PI1229,2018-07-15,93.9
PI1245,2018-07-15,230.11
PI1265,2018-07-15,205.26
PI1291,2018-07-15,161.48
PI1340,2018-07-15,238.37
PI1343,2018-07-15,257.23
PI1361,2018-07-15,224.26
PI1366,2018-07-15,244.02
PI1379,2018-07-15,283.3
PI1380,2018-07-15,120.73
PI1384,2018-07-15,102.95
PI1387,2018-07-15,98.34
PI1390,2018-07-15,266
PI1400,2018-07-15,135.39
PI1404,2018-07-15,211.14
PI1414,2018-07-15,183.55
PI1434,2018-07-15,224.57
PI1441,2018-07-15,350.79
PI1447,2018-07-15,232.16
PI1466,2018-07-15,168.82
PI1473,2018-07-15,328.31
PI1519,2018-07-15,308.97
PI1545,2018-07-15,148.21
PI1547,2018-07-15,158.7
PI1564,2018-07-15,135.24
PI1599,2018-07-15,433.67
PI1614,2018-07-15,128.19
PI1624,2018-07-15,99.98
PI1655,2018-07-15,136.2
PI1661,2018-07-15,150.38
PI1663,2018-07-15,157.92
PI1686,2018-07-15,214.63
PI1689,2018-07-15,223.21
PI1776,2018-07-15,153.28
PI1778,2018-07-15,243.04
PI1787,2018-07-15,109.9
PI1810,2018-07-15,271.66
PI1821,2018-07-15,176.82
PI1823,2018-07-15,117.66
PI1831,2018-07-15,151.11
PI1853,2018-07-15,233.41
PI1863,2018-07-15,121.99
PI1875,2018-07-15,181.84
PI1894,2018-07-15,151.08
PI1897,2018-07-15,237.95
PI1922,2018-07-15,275.35
PI1932,2018-07-15,89.42
PI1942,2018-07-15,202.35
PI1952,2018-07-15,165.45
PI1968,2018-07-15,207.53
PI1987,2018-07-15,243.75
PI1999,2018-07-15,188.32
PI2002,2018-07-15,175.58
PI2016,2018-07-15,271.91
PI2026,2018-07-15,177.04
PI2089,2018-07-15,250.07
PI2096,2018-07-15,259.15
PI2097,2018-07-15,19.5
PI2112,2018-07-15,190.09
PI2157,2018-07-15,125.39
PI2218,2018-07-15,236.43
PI2221,2018-07-15,130.41
PI2227,2018-07-15,103.69
PI2238,2018-07-15,214.75
PI2246,2018-07-15,154.23
PI2249,2018-07-15,202.9
PI2250,2018-07-15,106.25
PI2261,2018-07-15,233.95
PI2265,2018-07-15,112.47
PI2270,2018-07-15,116.13
PI2275,2018-07-15,223.19
PI2291,2018-07-15,144.08
PI2293,2018-07-15,126.26
PI2297,2018-07-15,263.51
PI2312,2018-07-15,147.45
PI2313,2018-07-15,139.83
PI2326,2018-07-15,266.17
PI2338,2018-07-15,205.18
PI2345,2018-07-15,157.21
PI2355,2018-07-15,111.9
PI2357,2018-07-15,175.41
PI2367,2018-07-15,220.91
PI2381,2018-07-15,157.69
PI2384,2018-07-15,227.07
PI2390,2018-07-15,200.61
PI2398,2018-07-15,110.46
PI2400,2018-07-15,124.11
PI2410,2018-07-15,147.6
PI2411,2018-07-15,129.84
PI2457,2018-07-15,231.03
PI2461,2018-07-15,199.39
PI2464,2018-07-15,149.88
PI2487,2018-07-15,117.96
PI2513,2018-07-15,142.49
PI2517,2018-07-15,440.29
PI2545,2018-07-15,306.44
PI2581,2018-07-15,177.08
PI2587,2018-07-15,231.83
PI2589,2018-07-15,133.73
PI2595,2018-07-15,166.97
PI2601,2018-07-15,188.29
PI2629,2018-07-15,179.98
PI2637,2018-07-15,111.8
PI2643,2018-07-15,212.5
PI2644,2018-07-15,263.08
PI2661,2018-07-15,224.41
PI2690,2018-07-15,164.19
PI2704,2018-07-15,301.73
PI2729,2018-07-15,208.81
PI2730,2018-07-15,118.91
PI2732,2018-07-15,209.09
PI2744,2018-07-15,81.06
PI2802,2018-07-15,194.48
PI2824,2018-07-15,268.34
PI2831,2018-07-15,361.51
PI2849,2018-07-15,210.68
PI2867,2018-07-15,115.8
PI2877,2018-07-15,316.04
PI2903,2018-07-15,156.8
PI2932,2018-07-15,110.6
PI2940,2018-07-15,268.41
PI2948,2018-07-15,276.03
PI2953,2018-07-15,175.43
PI2958,2018-07-15,108.79
PI2959,2018-07-15,184.7
PI2961,2018-07-15,234.18
PI2964,2018-07-15,259.76
PI2971,2018-07-15,88.33
PI2973,2018-07-15,182.58
PI2990,2018-07-15,149.36
PI2992,2018-07-15,266.34
PI0019,2018-07-29,166.72
PI0056,2018-07-29,285.02
PI0073,2018-07-29,164.14
PI0109,2018-07-29,213.91
PI0125,2018-07-29,192.63
PI0128,2018-07-29,206.51
PI0144,2018-07-29,125.6
PI0177,2018-07-29,212.34
PI0179,2018-07-29,139.64
PI0198,2018-07-29,244.93
PI0214,2018-07-29,272.46
PI0237,2018-07-29,272.09
PI0262,2018-07-29,197.03
PI0275,2018-07-29,239.58
PI0277,2018-07-29,89.47
PI0279,2018-07-29,177.67
PI0324,2018-07-29,168.36
PI0328,2018-07-29,200.53
PI0332,2018-07-29,271.56
PI0336,2018-07-29,338.07
PI0353,2018-07-29,354.72
PI0369,2018-07-29,177.69
PI0372,2018-07-29,219.52
PI0396,2018-07-29,223.2
PI0427,2018-07-29,235.07
PI0432,2018-07-29,144.24
PI0442,2018-07-29,114.65
PI0470,2018-07-29,76.09
PI0488,2018-07-29,408.21
PI0503,2018-07-29,351.05
PI0510,2018-07-29,158.8
PI0520,2018-07-29,357.28
PI0525,2018-07-29,134.18
PI0547,2018-07-29,286.86
PI0568,2018-07-29,226.64
PI0591,2018-07-29,172.83
PI0604,2018-07-29,104.32
PI0609,2018-07-29,141.63
PI0622,2018-07-29,57.82
PI0652,2018-07-29,85.17
PI0660,2018-07-29,241.37
PI0671,2018-07-29,69.32
PI0677,2018-07-29,183.04
PI0679,2018-07-29,266.35
PI0717,2018-07-29,244.61
PI0735,2018-07-29,138.52
PI0743,2018-07-29,192.72
PI0766,2018-07-29,283.06
PI0770,2018-07-29,161.3
PI0783,2018-07-29,205.71
PI0798,2018-07-29,164.58
PI0810,2018-07-29,123.42
PI0853,2018-07-29,180.85
PI0864,2018-07-29,177.52
PI0881,2018-07-29,246.39
PI0889,2018-07-29,218.45
PI0914,2018-07-29,165.16
PI0918,2018-07-29,337.07
PI0927,2018-07-29,205.65
PI0932,2018-07-29,201.3
PI0969,2018-07-29,31.52
PI1021,2018-07-29,226.3
PI1042,2018-07-29,307.09
PI1060,2018-07-29,79.22
PI1080,2018-07-29,136.59
PI1089,2018-07-29,128.38
PI1095,2018-07-29,174.99
PI1125,2018-07-29,167.85
PI1134,2018-07-29,193.96
PI1142,2018-07-29,84.17
PI1173,2018-07-29,222.05
PI1175,2018-07-29,105.47
PI1229,2018-07-29,188.57
PI1245,2018-07-29,139.84
PI1265,2018-07-29,336.28
PI1291,2018-07-29,210.81
PI1340,2018-07-29,265.55
PI1343,2018-07-29,224.71
PI1361,2018-07-29,186.99
PI1366,2018-07-29,338.04
PI1376,2018-07-29,109.12
PI1379,2018-07-29,289.84
PI1380,2018-07-29,185.75
PI1384,2018-07-29,191.94
PI1390,2018-07-29,165.49
PI1400,2018-07-29,92.76
PI1404,2018-07-29,223.02
PI1406,2018-07-29,190.31
PI1414,2018-07-29,150.3
PI1434,2018-07-29,181.43
PI1441,2018-07-29,207.76
PI1447,2018-07-29,92.85
PI1466,2018-07-29,241.34
PI1473,2018-07-29,160.3
PI1519,2018-07-29,187.75
PI1538,2018-07-29,150.51
PI1545,2018-07-29,238.96
PI1547,2018-07-29,283.23
PI1564,2018-07-29,276.91
PI1599,2018-07-29,406.62
PI1614,2018-07-29,116.41
PI1624,2018-07-29,103.83
PI1655,2018-07-29,255.43
PI1661,2018-07-29,148.49
PI1663,2018-07-29,130.42
PI1686,2018-07-29,267.57
PI1689,2018-07-29,117.6
PI1694,2018-07-29,259.86
PI1707,2018-07-29,218.76
PI1776,2018-07-29,178.05
PI1778,2018-07-29,384.11
PI1787,2018-07-29,354.28
PI1821,2018-07-29,108.64
PI1831,2018-07-29,260.08
PI1853,2018-07-29,204.74
PI1863,2018-07-29,109.94
PI1875,2018-07-29,90.19
PI1894,2018-07-29,73.31
PI1897,2018-07-29,283.14
PI1922,2018-07-29,107.48
PI1932,2018-07-29,177.08
PI1942,2018-07-29,275.12
PI1952,2018-07-29,305.08
PI1968,2018-07-29,248.49
PI1987,2018-07-29,170.73
PI1999,2018-07-29,211.89
PI2002,2018-07-29,266.78
PI2016,2018-07-29,222.38
PI2089,2018-07-29,146.84
PI2096,2018-07-29,249.77
PI2097,2018-07-29,292.2
PI2112,2018-07-29,115.02
PI2138,2018-07-29,267.46
PI2157,2018-07-29,143.34
PI2202,2018-07-29,182.73
PI2218,2018-07-29,194.5
PI2221,2018-07-29,209.33
PI2227,2018-07-29,206.36
PI2238,2018-07-29,219.94
PI2246,2018-07-29,125.66
PI2249,2018-07-29,228.82
PI2250,2018-07-29,129.97
PI2261,2018-07-29,289.56
PI2265,2018-07-29,176.79
PI2270,2018-07-29,264.67
PI2275,2018-07-29,235.16
PI2286,2018-07-29,130.79
PI2291,2018-07-29,191.3
PI2297,2018-07-29,255.37
PI2312,2018-07-29,117.09
PI2313,2018-07-29,231.25
PI2326,2018-07-29,241.99
PI2338,2018-07-29,305.43
PI2345,2018-07-29,153.87
PI2355,2018-07-29,176.42
PI2357,2018-07-29,168.99
PI2367,2018-07-29,211.4
PI2381,2018-07-29,237.67
PI2384,2018-07-29,168.79
PI2398,2018-07-29,190.06
PI2400,2018-07-29,160.61
PI2407,2018-07-29,118.97
PI2409,2018-07-29,185.36
PI2410,2018-07-29,229.16
PI2411,2018-07-29,175.1
PI2457,2018-07-29,385.68
PI2461,2018-07-29,227.4
PI2464,2018-07-29,324.97
PI2481,2018-07-29,206.01
PI2487,2018-07-29,218.52
PI2517,2018-07-29,300.94
PI2545,2018-07-29,225.36
PI2581,2018-07-29,387.66
PI2587,2018-07-29,228.19
PI2589,2018-07-29,123.04
PI2595,2018-07-29,279.61
PI2601,2018-07-29,174.95
PI2629,2018-07-29,78.56
PI2637,2018-07-29,119.18
PI2643,2018-07-29,328.61
PI2644,2018-07-29,278.18
PI2661,2018-07-29,132.23
PI2690,2018-07-29,200.67
PI2729,2018-07-29,249.14
PI2730,2018-07-29,222.15
PI2732,2018-07-29,187.46
PI2742,2018-07-29,154.33
PI2744,2018-07-29,319.11
PI2802,2018-07-29,160.38
PI2824,2018-07-29,174.97
PI2849,2018-07-29,243.33
PI2867,2018-07-29,82.84
PI2877,2018-07-29,261.9
PI2903,2018-07-29,131.36
PI2932,2018-07-29,209.19
PI2940,2018-07-29,289.94
PI2948,2018-07-29,106.94
PI2953,2018-07-29,148.07
PI2958,2018-07-29,121.24
PI2959,2018-07-29,160.55
PI2964,2018-07-29,242.91
PI2971,2018-07-29,214.88
PI2973,2018-07-29,73.67
PI2990,2018-07-29,109.35
PI2992,2018-07-29,202.02
PI0019,2018-08-12,46.9
PI0056,2018-08-12,63.35
PI0073,2018-08-12,207.72
PI0109,2018-08-12,144.47
PI0125,2018-08-12,154.69
PI0128,2018-08-12,231.25
PI0144,2018-08-12,143.93
PI0177,2018-08-12,256.36
PI0179,2018-08-12,124.47
PI0214,2018-08-12,228.39
PI0237,2018-08-12,216.21
PI0260,2018-08-12,256.87
PI0262,2018-08-12,201.56
PI0263,2018-08-12,232.55
PI0277,2018-08-12,151.79
PI0279,2018-08-12,89.4
PI0324,2018-08-12,64.25
PI0328,2018-08-12,188.24
PI0332,2018-08-12,182.43
PI0353,2018-08-12,170.1
PI0369,2018-08-12,167.84
PI0396,2018-08-12,268.98
PI0427,2018-08-12,174.33
PI0432,2018-08-12,226.64
PI0442,2018-08-12,252.07
PI0470,2018-08-12,128.85
PI0488,2018-08-12,350.85
PI0493,2018-08-12,262.44
PI0503,2018-08-12,113.24
PI0510,2018-08-12,172.24
PI0520,2018-08-12,249.92
PI0525,2018-08-12,156.41
PI0547,2018-08-12,294.49
PI0568,2018-08-12,243.28
PI0581,2018-08-12,242.45
PI0591,2018-08-12,130.98
PI0604,2018-08-12,455.81
PI0609,2018-08-12,254.3
PI0622,2018-08-12,106.79
PI0652,2018-08-12,277.15
PI0660,2018-08-12,156.96
PI0671,2018-08-12,131.86
PI0677,2018-08-12,196.46
PI0679,2018-08-12,129.47
PI0735,2018-08-12,181.53
PI0743,2018-08-12,295.43
PI0770,2018-08-12,122.6
PI0783,2018-08-12,178.49
PI0798,2018-08-12,375
PI0809,2018-08-12,161.44
PI0810,2018-08-12,163.1
PI0853,2018-08-12,204.85
PI0864,2018-08-12,213.01
PI0881,2018-08-12,158.41
PI0889,2018-08-12,146.96
PI0914,2018-08-12,251.79
PI0918,2018-08-12,314.3
PI0927,2018-08-12,208.84
PI0932,2018-08-12,183.2
PI1021,2018-08-12,263.12
PI1042,2018-08-12,157.07
PI1060,2018-08-12,115.04
PI1080,2018-08-12,186.59
PI1089,2018-08-12,95.86
PI1095,2018-08-12,126.92
PI1122,2018-08-12,192.1
PI1125,2018-08-12,209.95
PI1134,2018-08-12,165.75
PI1142,2018-08-12,166.8
PI1173,2018-08-12,150.69
PI1175,2018-08-12,102.11
PI1229,2018-08-12,96.7
PI1265,2018-08-12,322.75
PI1340,2018-08-12,219.34
PI1343,2018-08-12,190.74
PI1361,2018-08-12,130.82
PI1366,2018-08-12,199.22
PI1376,2018-08-12,154.81
PI1379,2018-08-12,105.72
PI1380,2018-08-12,181.1
PI1384,2018-08-12,156.84
PI1400,2018-08-12,176.26
PI1404,2018-08-12,162.03
PI1406,2018-08-12,312.08
PI1414,2018-08-12,122.96
PI1434,2018-08-12,389.46
PI1447,2018-08-12,151.45
PI1466,2018-08-12,125.1
PI1473,2018-08-12,210.92
PI1519,2018-08-12,143.08
PI1538,2018-08-12,141.53
PI1545,2018-08-12,292.02
PI1547,2018-08-12,441
PI1564,2018-08-12,207.13
PI1599,2018-08-12,348.09
PI1614,2018-08-12,140.31
PI1624,2018-08-12,187.78
PI1655,2018-08-12,151.64
PI1661,2018-08-12,205.1
PI1686,2018-08-12,239.84
PI1689,2018-08-12,134.76
PI1694,2018-08-12,198.69
PI1707,2018-08-12,232.9
PI1787,2018-08-12,326.37
PI1810,2018-08-12,126.31
PI1821,2018-08-12,134.75
PI1823,2018-08-12,137.79
PI1853,2018-08-12,180.02
PI1875,2018-08-12,122.79
PI1897,2018-08-12,233.38
PI1922,2018-08-12,264.19
PI1932,2018-08-12,128.15
PI1942,2018-08-12,258.88
PI1952,2018-08-12,173.29
PI1968,2018-08-12,285.53
PI1987,2018-08-12,165.22
PI1999,2018-08-12,213.91
PI2002,2018-08-12,258.52
PI2016,2018-08-12,281.23
PI2026,2018-08-12,205
PI2089,2018-08-12,209.38
PI2096,2018-08-12,178.3
PI2097,2018-08-12,298.72
PI2112,2018-08-12,170.84
PI2138,2018-08-12,258.42
PI2157,2018-08-12,215.18
PI2202,2018-08-12,173.84
PI2218,2018-08-12,148.12
PI2221,2018-08-12,161.27
PI2227,2018-08-12,112.76
PI2238,2018-08-12,279.27
PI2246,2018-08-12,225.33
PI2249,2018-08-12,131.07
PI2250,2018-08-12,126.28
PI2261,2018-08-12,106.26
PI2265,2018-08-12,111.97
PI2270,2018-08-12,321.1
PI2275,2018-08-12,170.37
PI2286,2018-08-12,186.05
PI2293,2018-08-12,223.62
PI2297,2018-08-12,149.73
PI2312,2018-08-12,66.23
PI2313,2018-08-12,277
PI2326,2018-08-12,242.96
PI2338,2018-08-12,220.13
PI2355,2018-08-12,149.09
PI2357,2018-08-12,170.3
PI2367,2018-08-12,287.99
PI2384,2018-08-12,332.32
PI2390,2018-08-12,241.57
PI2398,2018-08-12,97.47
PI2407,2018-08-12,114.88
PI2409,2018-08-12,184.48
PI2410,2018-08-12,205.58
PI2411,2018-08-12,194.18
PI2457,2018-08-12,351.92
PI2461,2018-08-12,133.24
PI2481,2018-08-12,180.88
PI2487,2018-08-12,263.18
PI2513,2018-08-12,274.72
PI2517,2018-08-12,261.82
PI2545,2018-08-12,214.87
PI2581,2018-08-12,305.98
PI2587,2018-08-12,185.54
PI2595,2018-08-12,121.62
PI2601,2018-08-12,248.35
PI2629,2018-08-12,357.17
PI2637,2018-08-12,107.4
PI2643,2018-08-12,273.65
PI2644,2018-08-12,247.77
PI2661,2018-08-12,71.98
PI2690,2018-08-12,170.58
PI2704,2018-08-12,137.7
PI2729,2018-08-12,182.66
PI2730,2018-08-12,261.97
PI2732,2018-08-12,124.69
PI2742,2018-08-12,238.03
PI2744,2018-08-12,322.48
PI2824,2018-08-12,248.08
PI2831,2018-08-12,249.95
PI2849,2018-08-12,151.56
PI2867,2018-08-12,85.6
PI2877,2018-08-12,212.13
PI2903,2018-08-12,167.58
PI2932,2018-08-12,104.68
PI2940,2018-08-12,259.42
PI2948,2018-08-12,171.92
PI2953,2018-08-12,322.99
PI2958,2018-08-12,108.11
PI2959,2018-08-12,158.62
PI2961,2018-08-12,129.99
PI2964,2018-08-12,209.04
PI2971,2018-08-12,206.65
PI2973,2018-08-12,149.31
PI2990,2018-08-12,133.87
PI2992,2018-08-12,88.34
PI0019,2018-08-26,89.81
PI0056,2018-08-26,265.71
PI0073,2018-08-26,28.55
PI0109,2018-08-26,238.4
PI0125,2018-08-26,138.64
PI0128,2018-08-26,95.52
PI0144,2018-08-26,153.82
PI0177,2018-08-26,204.46
PI0179,2018-08-26,138.11
PI0198,2018-08-26,222.92
PI0214,2018-08-26,313.31
PI0237,2018-08-26,189.56
PI0260,2018-08-26,128.89
PI0263,2018-08-26,233.28
PI0275,2018-08-26,309.35
PI0277,2018-08-26,139.19
PI0279,2018-08-26,234.45
PI0324,2018-08-26,80.83
PI0328,2018-08-26,207.22
PI0332,2018-08-26,142.82
PI0336,2018-08-26,356.94
PI0353,2018-08-26,266.68
PI0369,2018-08-26,124.5
PI0372,2018-08-26,193.03
PI0396,2018-08-26,319.25
PI0427,2018-08-26,183.97
PI0432,2018-08-26,172.21
PI0442,2018-08-26,112.13
PI0470,2018-08-26,243.35
PI0488,2018-08-26,152.1
PI0493,2018-08-26,335.91
PI0503,2018-08-26,156.87
PI0510,2018-08-26,207.73
PI0520,2018-08-26,216.63
PI0525,2018-08-26,119.91
PI0568,2018-08-26,172.59
PI0581,2018-08-26,188.09
PI0591,2018-08-26,95.34
PI0609,2018-08-26,317.6
PI0622,2018-08-26,161.5
PI0652,2018-08-26,137.74
PI0660,2018-08-26,210.13
PI0677,2018-08-26,233.96
PI0679,2018-08-26,205.8
PI0717,2018-08-26,137.3
PI0735,2018-08-26,62.66
PI0743,2018-08-26,264.21
PI0766,2018-08-26,294.15
PI0770,2018-08-26,94.79
PI0783,2018-08-26,50.16
PI0798,2018-08-26,186.31
PI0809,2018-08-26,170.67
PI0810,2018-08-26,135.22
PI0853,2018-08-26,190.82
PI0864,2018-08-26,93.48
PI0889,2018-08-26,192.04
PI0914,2018-08-26,105.21
PI0918,2018-08-26,113.28
PI0927,2018-08-26,195.86
PI0932,2018-08-26,180.78
PI0969,2018-08-26,172.81
PI1042,2018-08-26,236.36
PI1060,2018-08-26,175.88
PI1080,2018-08-26,193.23
PI1089,2018-08-26,275.79
PI1122,2018-08-26,253.95
PI1125,2018-08-26,181.64
PI1134,2018-08-26,228.45
PI1142,2018-08-26,159.73
PI1173,2018-08-26,179.65
PI1175,2018-08-26,252.47
PI1229,2018-08-26,65.71
PI1245,2018-08-26,179.77
PI1265,2018-08-26,234.18
