ID,FINYEAR,CODE1,CODE2,CODE3,CODE4,CODE5,CODE6,CODE7,CODE8,AMT1,AMT2,AMT3,AMT4,AMT5,AMT6,AMT7,AMT8
PI0223,2019,SA14,,,,,,,,07422,,,,,,,
PI0228,2019,SA12,,,,,,,,04131,,,,,,,
PI0229,2019,SA14,SA16,SA19,,,,,,01980,06095,08043,,,,,
PI0236,2019,SA16,,,,,,,,01963,,,,,,,
PI0237,2019,SA14,,,,,,,,00990,,,,,,,
PI0238,2019,SA12,,,,,,,,08262,,,,,,,
PI0239,2019,SA14,SA22,,,,,,,00990,01835,,,,,,
PI0240,2019,SA14,SA12,SA13,SA16,,,,,01980,07462,01000,01845,,,,
PI0241,2019,SA12,,,,,,,,08262,,,,,,,
PI0243,2019,SA12,,,,,,,,07462,,,,,,,
PI0255,2019,SA14,,,,,,,,06432,,,,,,,
PI0257,2019,SA01,SA12,,,,,,,01550,08262,,,,,,
PI0260,2019,SA14,,,,,,,,03200,,,,,,,
PI0261,2019,SA14,SA12,,,,,,,06432,07462,,,,,,
PI0262,2019,SA12,,,,,,,,07462,,,,,,,
PI0263,2019,SA12,SA05,,,,,,,08262,01000,,,,,,
PI0266,2019,SA01,SA12,,,,,,,01550,08262,,,,,,
PI0267,2019,SA14,,,,,,,,10142,,,,,,,
PI0274,2019,SA01,SA12,,,,,,,01550,07462,,,,,,
PI0275,2019,SA14,,,,,,,,00990,,,,,,,
PI0277,2019,SA14,,,,,,,,07422,,,,,,,
PI0279,2019,SA12,,,,,,,,08262,,,,,,,
PI0282,2019,SA01,SA14,,,,,,,00217,07422,,,,,,
PI0283,2019,SA14,,,,,,,,40070,,,,,,,
PI0284,2019,SA12,,,,,,,,08262,,,,,,,
PI0285,2019,SA12,SA05,,,,,,,08262,01000,,,,,,
PI0286,2019,SA12,,,,,,,,06538,,,,,,,
PI0287,2019,SA12,,,,,,,,07862,,,,,,,
PI0291,2019,SA12,,,,,,,,08262,,,,,,,
PI0300,2019,SA12,,,,,,,,07462,,,,,,,
PI0305,2019,SA15,,,,,,,,04000,,,,,,,
PI0306,2019,SA15,,,,,,,,30000,,,,,,,
PI0310,2019,SA01,,,,,,,,00056,,,,,,,
PI0311,2019,SA14,,,,,,,,05937,,,,,,,
PI0313,2019,SA12,,,,,,,,07462,,,,,,,
PI0316,2019,SA14,,,,,,,,05673,,,,,,,
PI0320,2019,SA12,,,,,,,,07862,,,,,,,
PI0321,2019,SA15,,,,,,,,06500,,,,,,,
PI0322,2019,SA12,SA16,SA17,SA19,,,,,08262,06095,01000,08057,,,,
PI0324,2019,SA14,,,,,,,,05938,,,,,,,
PI0325,2019,SA14,,,,,,,,20284,,,,,,,
PI0326,2019,SA09,SA14,SA12,SA16,SA17,SA19,,,00500,00365,07462,06095,01000,08057,,
PI0327,2019,SA15,SA12,SA16,,,,,,20000,07462,04545,,,,,
PI0328,2019,SA12,,,,,,,,07862,,,,,,,
PI0330,2019,SA22,,,,,,,,03335,,,,,,,
PI0331,2019,SA12,,,,,,,,07862,,,,,,,
PI0332,2019,SA14,,,,,,,,14130,,,,,,,
PI0335,2019,SA14,SA16,,,,,,,01980,01545,,,,,,
PI0336,2019,SA12,,,,,,,,07462,,,,,,,
PI0343,2019,SA01,SA14,SA12,,,,,,01363,01980,08262,,,,,
PI0345,2019,SA12,,,,,,,,08262,,,,,,,
PI0347,2019,SA01,SA12,,,,,,,01083,08262,,,,,,
PI0348,2019,SA14,,,,,,,,20282,,,,,,,
PI0353,2019,SA14,SA16,,,,,,,01980,04845,,,,,,
PI0360,2019,SA12,,,,,,,,07462,,,,,,,
PI0361,2019,SA14,,,,,,,,17087,,,,,,,
PI0364,2019,SA14,,,,,,,,01980,,,,,,,
PI0366,2019,SA14,,,,,,,,03381,,,,,,,
PI0369,2019,SA15,,,,,,,,05000,,,,,,,
PI0370,2019,SA02,SA14,SA13,SA16,SA17,SA19,,,03500,06926,01000,06095,01000,08045,,
PI0372,2019,SA07,,,,,,,,04484,,,,,,,
PI0377,2019,SA12,SA16,SA17,SA19,,,,,07462,06095,01000,08053,,,,
PI0387,2019,SA13,SA16,SA17,,,,,,00375,02285,00500,,,,,
PI0388,2019,SA15,SA14,,,,,,,25000,06757,,,,,,
PI0389,2019,SA14,,,,,,,,01980,,,,,,,
PI0392,2019,SA01,SA12,,,,,,,01550,08262,,,,,,
PI0393,2019,SA14,,,,,,,,20282,,,,,,,
PI0395,2019,SA13,SA16,SA04,,,,,,01500,07306,14030,,,,,
PI0396,2019,SA14,,,,,,,,20282,,,,,,,
PI0399,2019,SA12,,,,,,,,07462,,,,,,,
PI0401,2019,SA12,,,,,,,,07462,,,,,,,
PI0404,2019,SA12,,,,,,,,07862,,,,,,,
PI0408,2019,SA14,SA12,,,,,,,01980,08262,,,,,,
PI0409,2019,SA14,,,,,,,,20282,,,,,,,
PI0415,2019,SA02,SA12,SA16,SA19,,,,,01488,08262,06045,08057,,,,
PI0419,2019,SA14,SA12,,,,,,,01980,07462,,,,,,
PI0420,2019,SA14,,,,,,,,06332,,,,,,,
PI0421,2019,SA12,,,,,,,,08262,,,,,,,
PI0424,2019,SA12,SA16,SA17,SA19,,,,,08262,06857,01000,08057,,,,
PI0425,2019,SA14,,,,,,,,40070,,,,,,,
PI0427,2019,SA15,SA16,,,,,,,38000,02045,,,,,,
PI0429,2019,SA12,,,,,,,,07862,,,,,,,
PI0432,2019,SA14,,,,,,,,03381,,,,,,,
PI0433,2019,SA12,,,,,,,,07462,,,,,,,
PI0442,2019,SA12,SA16,SA19,,,,,,07862,06095,08048,,,,,
PI0443,2019,SA12,,,,,,,,08262,,,,,,,
PI0445,2019,SA14,,,,,,,,06928,,,,,,,
PI0446,2019,SA12,,,,,,,,07462,,,,,,,
PI0448,2019,SA12,,,,,,,,08262,,,,,,,
PI0449,2019,SA12,,,,,,,,07462,,,,,,,
PI0450,2019,SA01,SA12,,,,,,,01550,08262,,,,,,
PI0452,2019,SA12,,,,,,,,07462,,,,,,,
PI0454,2019,SA14,,,,,,,,05874,,,,,,,
PI0457,2019,SA12,,,,,,,,07462,,,,,,,
PI0459,2019,SA14,,,,,,,,20861,,,,,,,
PI0470,2019,SA12,,,,,,,,08262,,,,,,,
PI0473,2019,SA12,,,,,,,,07462,,,,,,,
PI0475,2019,SA23,SA12,,,,,,,01000,03931,,,,,,
PI0476,2019,SA01,SA12,SA05,,,,,,01438,08262,01000,,,,,
PI0480,2019,SA04,,,,,,,,01128,,,,,,,
PI0482,2019,SA16,SA25,,,,,,,03810,29733,,,,,,
PI0486,2019,SA12,,,,,,,,07462,,,,,,,
PI0488,2019,SA12,,,,,,,,07462,,,,,,,
PI0491,2019,SA12,,,,,,,,07862,,,,,,,
PI0493,2019,SA12,,,,,,,,07862,,,,,,,
PI0494,2019,SA12,SA13,SA16,,,,,,08262,01000,02745,,,,,
PI0497,2019,SA12,,,,,,,,08262,,,,,,,
PI0500,2019,SA12,SA16,SA17,SA19,,,,,07462,06095,01000,08045,,,,
PI0503,2019,SA12,,,,,,,,07462,,,,,,,
PI0504,2019,SA14,SA12,SA16,,,,,,01980,07462,01645,,,,,
PI0505,2019,SA12,,,,,,,,07862,,,,,,,
PI-0510,2019,SA14,,,,,,,,01980,,,,,,,
PI0513,2019,SA14,,,,,,,,01980,,,,,,,
PI0514,2019,SA14,,,,,,,,23665,,,,,,,
PI0516,2019,SA14,,,,,,,,03463,,,,,,,
PI0520,2019,SA15,SA12,,,,,,,20000,07862,,,,,,
PI0523,2019,SA14,,,,,,,,01980,,,,,,,
PI0525,2019,SA01,SA14,SA16,,,,,,01529,01980,01445,,,,,
PI0526,2019,SA01,SA12,,,,,,,01284,08262,,,,,,
PI0527,2019,SA12,,,,,,,,08262,,,,,,,
PI0528,2019,SA23,SA12,SA16,SA19,,,,,01000,03731,06095,08048,,,,
 PI0530,2019,SA14,SA16,SA17,,,,,,01980,06095,01000,,,,,
PI0531,2019,SA12,,,,,,,,07862,,,,,,,
PI0532,2019,SA12,,,,,,,,04131,,,,,,,
PI0533,2019,SA14,SA12,,,,,,,07422,08262,,,,,,
PI0536,2019,SA14,,,,,,,,09468,,,,,,,
PI0544,2019,SA12,,,,,,,,07462,,,,,,,
PI0545,2019,SA12,,,,,,,,07862,,,,,,,
PI0547,2019,SA22,,,,,,,,03335,,,,,,,
PI0551,2019,SA12,,,,,,,,07462,,,,,,,
PI0553,2019,SA14,SA12,SA13,SA16,,,,,00990,01100,00500,03023,,,,
PI0554,2019,SA14,SA12,,,,,,,06702,07462,,,,,,
PI0555,2019,SA14,,,,,,,,23665,,,,,,,
PI0563,2019,SA12,,,,,,,,08262,,,,,,,
PI0566,2019,SA14,,,,,,,,01980,,,,,,,
PI0568,2019,SA02,SA12,SA16,SA19,,,,,00045,07462,07619,08050,,,,
PI0576,2019,SA14,SA22,,,,,,,01980,03335,,,,,,
PI0577,2019,SA12,SA16,SA19,,,,,,04131,00762,04033,,,,,
PI0579,2019,SA14,,,,,,,,00990,,,,,,,
PI0580,2019,SA12,,,,,,,,07462,,,,,,,
PI0581,2019,SA14,SA12,SA13,SA16,,,,,01980,07862,01000,02145,,,,
PI0584,2019,SA14,,,,,,,,15049,,,,,,,
PI0589,2019,SA14,,,,,,,,23665,,,,,,,
PI0591,2019,SA12,,,,,,,,04131,,,,,,,
PI0596,2019,SA12,,,,,,,,07462,,,,,,,
PI0598,2019,SA14,SA13,SA16,,,,,,03463,00468,02004,,,,,
PI0600,2019,SA12,SA16,SA17,SA19,,,,,07862,06095,01000,08053,,,,
PI0601,2019,SA12,,,,,,,,08262,,,,,,,
PI0602,2019,SA15,SA14,,,,,,,14000,01980,,,,,,
PI0604,2019,SA12,SA16,,,,,,,08262,01245,,,,,,
PI0605,2019,SA14,,,,,,,,40070,,,,,,,
PI0609,2019,SA14,SA22,,,,,,,05442,03335,,,,,,
PI0610,2019,SA12,SA16,SA17,SA19,,,,,08262,06095,01000,08057,,,,
PI0614,2019,SA14,,,,,,,,09106,,,,,,,
PI0615,2019,SA14,,,,,,,,03711,,,,,,,
PI0620,2019,SA12,,,,,,,,08262,,,,,,,
PI0621,2019,SA12,,,,,,,,03731,,,,,,,
PI0622,2019,SA02,SA14,SA12,SA16,SA19,,,,00204,01542,08262,07619,08050,,,
PI0623,2019,SA14,,,,,,,,01980,,,,,,,
PI0624,2019,SA14,SA16,,,,,,,01980,04745,,,,,,
PI0638,2019,SA14,,,,,,,,13522,,,,,,,
PI0641,2019,SA14,,,,,,,,20282,,,,,,,
PI0643,2019,SA14,SA13,SA16,,,,,,00990,01500,02903,,,,,
PI0651,2019,SA12,SA16,,,,,,,07862,01945,,,,,,
PI0652,2019,SA14,SA12,,,,,,,07422,07462,,,,,,
PI0653,2019,SA12,SA13,SA16,SA17,,,,,07462,01000,06095,01000,,,,
PI0654,2019,SA14,SA12,,,,,,,01979,07862,,,,,,
PI0655,2019,SA14,SA13,SA16,,,,,,06926,01500,06095,,,,,
PI0658,2019,SA14,,,,,,,,08411,,,,,,,
PI0659,2019,SA12,,,,,,,,08262,,,,,,,
PI0660,2019,SA12,,,,,,,,07862,,,,,,,
PI0662,2019,SA12,,,,,,,,08262,,,,,,,
PI0663,2019,SA14,SA12,,,,,,,01980,08262,,,,,,
PI0665,2019,SA12,SA16,SA17,SA19,,,,,08262,06095,00910,08035,,,,
PI0670,2019,SA12,,,,,,,,07462,,,,,,,
PI0671,2019,SA14,SA23,SA12,,,,,,01980,01000,07462,,,,,
PI0676,2019,SA14,SA12,SA16,,,,,,01980,03731,02745,,,,,
PI0677,2019,SA12,SA16,SA19,,,,,,03731,03048,04033,,,,,
PI0678,2019,SA14,SA12,,,,,,,05442,07462,,,,,,
PI0679,2019,SA12,,,,,,,,07462,,,,,,,
PI0680,2019,SA14,,,,,,,,05938,,,,,,,
PI0681,2019,SA14,,,,,,,,23665,,,,,,,
PI0682,2019,SA12,,,,,,,,03931,,,,,,,
PI0683,2019,SA14,,,,,,,,20284,,,,,,,
PI0687,2019,SA14,,,,,,,,06761,,,,,,,
PI0688,2019,SA12,,,,,,,,03731,,,,,,,
PI0696,2019,SA01,SA12,,,,,,,00042,08262,,,,,,
PI0698,2019,SA14,,,,,,,,01980,,,,,,,
PI0700,2019,SA12,,,,,,,,07462,,,,,,,
PI0701,2019,SA14,,,,,,,,01980,,,,,,,
PI0703,2019,SA14,SA16,SA19,,,,,,01979,02286,04031,,,,,
PI0706,2019,SA12,,,,,,,,08262,,,,,,,
PI0707,2019,SA15,SA14,,,,,,,14000,06926,,,,,,
PI0710,2019,SA02,SA14,SA12,SA16,SA19,,,,00787,01980,07862,05845,08033,,,
PI0712,2019,SA12,,,,,,,,03931,,,,,,,
PI0713,2019,SA14,,,,,,,,20282,,,,,,,
PI0716,2019,SA14,SA12,SA13,SA16,,,,,01979,03731,01125,02345,,,,
PI0717,2019,SA12,,,,,,,,08262,,,,,,,
PI0718,2019,SA14,SA16,SA17,,,,,,05938,06095,01000,,,,,
PI0725,2019,SA12,SA16,,,,,,,07862,03345,,,,,,
PI0729,2019,SA12,,,,,,,,06538,,,,,,,
PI0735,2019,SA12,,,,,,,,08262,,,,,,,
PI0738,2019,SA14,SA04,,,,,,,27702,22001,,,,,,
PI0739,2019,SA04,,,,,,,,11930,,,,,,,
PI0743,2019,SA14,SA12,,,,,,,01980,07862,,,,,,
PI0744,2019,SA13,SA16,,,,,,,01500,06350,,,,,,
PI0745,2019,SA15,SA14,,,,,,,06097,01980,,,,,,
PI0746,2019,SA14,,,,,,,,01980,,,,,,,
PI0750,2019,SA14,,,,,,,,01921,,,,,,,
PI0754,2019,SA14,SA13,SA16,,,,,,06926,01500,03045,,,,,
PI0755,2019,SA12,SA16,SA19,,,,,,07462,06857,08057,,,,,
PI0760,2019,SA14,,,,,,,,08178,,,,,,,
PI0763,2019,SA14,SA16,,,,,,,00990,02023,,,,,,
PI0764,2019,SA14,,,,,,,,03195,,,,,,,
PI0766,2019,SA14,,,,,,,,00990,,,,,,,
PI0770,2019,SA14,,,,,,,,02969,,,,,,,
PI0771,2019,SA14,,,,,,,,03381,,,,,,,
PI0775,2019,SA12,,,,,,,,07462,,,,,,,
PI0778,2019,SA12,SA05,,,,,,,08262,01000,,,,,,
PI0779,2019,SA14,,,,,,,,03711,,,,,,,
PI0780,2019,SA14,,,,,,,,04444,,,,,,,
PI0783,2019,SA14,SA16,,,,,,,02969,01855,,,,,,
PI0791,2019,SA01,,,,,,,,00847,,,,,,,
PI0792,2019,SA01,SA12,,,,,,,01550,08262,,,,,,
PI0793,2019,SA12,,,,,,,,07462,,,,,,,
PI0797,2019,SA02,SA12,SA16,SA17,SA19,,,,01035,03931,03048,00500,04024,,,
PI0798,2019,SA14,,,,,,,,20282,,,,,,,
PI0800,2019,SA12,,,,,,,,07862,,,,,,,
PI0805,2019,SA14,SA12,,,,,,,01980,06420,,,,,,
PI0806,2019,SA16,SA19,,,,,,,06045,08044,,,,,,
PI0809,2019,SA15,SA12,SA13,SA16,,,,,14519,07862,01250,04931,,,,
PI0810,2019,SA12,SA05,,,,,,,08262,01000,,,,,,
PI0815,2019,SA14,SA12,SA13,SA16,,,,,01980,07462,01000,03945,,,,
PI0817,2019,SA12,,,,,,,,08262,,,,,,,
PI0818,2019,SA02,SA13,SA16,SA17,SA19,,,,02092,01000,06095,01000,08049,,,
PI0819,2019,SA01,SA12,SA05,,,,,,00940,08262,01000,,,,,
PI0820,2019,SA12,,,,,,,,07462,,,,,,,
PI0822,2019,SA14,SA12,,,,,,,01980,07462,,,,,,
PI0823,2019,SA14,SA16,SA19,,,,,,02969,01973,04024,,,,,
PI0826,2019,SA14,SA12,SA13,SA16,,,,,01980,07462,01250,03545,,,,
PI0827,2019,SA14,SA12,,,,,,,01979,08262,,,,,,
PI0832,2019,SA14,,,,,,,,01980,,,,,,,
PI0837,2019,SA15,SA14,,,,,,,06000,20282,,,,,,
PI0842,2019,SA12,,,,,,,,07462,,,,,,,
PI0849,2019,SA12,,,,,,,,07462,,,,,,,
PI0850,2019,SA12,,,,,,,,07462,,,,,,,
PI0853,2019,SA14,SA12,,,,,,,13853,04036,,,,,,
PI0854,2019,SA12,SA16,,,,,,,07862,02845,,,,,,
PI0857,2019,SA14,,,,,,,,00204,,,,,,,
PI0861,2019,SA12,,,,,,,,08262,,,,,,,
PI0864,2019,SA14,,,,,,,,20284,,,,,,,
PI0865,2019,SA12,,,,,,,,07862,,,,,,,
PI0866,2019,SA14,,,,,,,,01980,,,,,,,
PI0867,2019,SA14,,,,,,,,20284,,,,,,,
PI0872,2019,SA12,,,,,,,,07462,,,,,,,
PI0877,2019,SA14,,,,,,,,20282,,,,,,,
PI0880,2019,SA12,,,,,,,,07862,,,,,,,
PI0881,2019,SA15,SA12,,,,,,,22000,08262,,,,,,
PI0883,2019,SA12,,,,,,,,07462,,,,,,,
PI0885,2019,SA14,SA16,,,,,,,01980,02545,,,,,,
PI0886,2019,SA12,SA16,,,,,,,07862,05445,,,,,,
PI0888,2019,SA14,SA16,,,,,,,01980,06045,,,,,,
PI0889,2019,SA14,SA12,,,,,,,07422,07462,,,,,,
PI0892,2019,SA12,,,,,,,,08262,,,,,,,
PI0894,2019,SA12,,,,,,,,08262,,,,,,,
PI0898,2019,SA12,,,,,,,,07862,,,,,,,
PI0900,2019,SA14,SA12,,,,,,,05442,07862,,,,,,
PI0902,2019,SA12,SA16,SA19,,,,,,07462,06857,08047,,,,,
PI0905,2019,SA14,SA12,SA16,SA19,,,,,01979,07862,08380,08057,,,,
PI0909,2019,SA12,,,,,,,,07462,,,,,,,
PI0914,2019,SA12,,,,,,,,07462,,,,,,,
PI0916,2019,SA23,,,,,,,,01000,,,,,,,
PI0918,2019,SA12,SA04,,,,,,,07462,00269,,,,,,
PI0924,2019,SA12,,,,,,,,07462,,,,,,,
PI0927,2019,SA12,,,,,,,,08262,,,,,,,
PI0931,2019,SA16,SA17,,,,,,,06095,01000,,,,,,
PI0932,2019,SA14,SA13,SA16,SA17,,,,,05675,01500,07619,01000,,,,
PI0933,2019,SA13,SA16,,,,,,,01312,03715,,,,,,
PI0938,2019,SA12,SA16,SA04,SA19,,,,,07862,06045,02986,08057,,,,
PI0945,2019,SA12,,,,,,,,08262,,,,,,,
PI0946,2019,SA14,SA12,SA13,SA16,,,,,01980,07462,01250,05045,,,,
PI0947,2019,SA12,,,,,,,,08262,,,,,,,
PI0948,2019,SA02,SA12,SA16,SA17,SA19,,,,02000,07862,06095,01000,08049,,,
PI0949,2019,SA12,SA13,SA16,,,,,,07462,01250,06095,,,,,
PI0950,2019,SA12,,,,,,,,07862,,,,,,,
PI0951,2019,SA14,,,,,,,,05938,,,,,,,
PI0955,2019,SA16,SA19,,,,,,,06095,08045,,,,,,
PI0956,2019,SA12,,,,,,,,07462,,,,,,,
PI0964,2019,SA14,,,,,,,,01980,,,,,,,
PI0965,2019,SA01,SA14,SA22,,,,,,00904,05442,03335,,,,,
PI0969,2019,SA14,,,,,,,,11267,,,,,,,
PI0975,2019,SA13,SA16,,,,,,,00375,00387,,,,,,
PI0976,2019,SA10,SA12,,,,,,,02000,07462,,,,,,
PI0979,2019,SA15,SA14,,,,,,,39119,01980,,,,,,
PI0980,2019,SA12,SA16,SA19,,,,,,07462,06095,08050,,,,,
PI0981,2019,SA12,,,,,,,,07862,,,,,,,
PI0984,2019,SA12,SA13,SA16,SA17,,,,,07462,00964,06095,01000,,,,
PI0986,2019,SA12,,,,,,,,07862,,,,,,,
PI0988,2019,SA14,SA12,SA13,SA16,,,,,01979,07862,01250,06431,,,,
PI0989,2019,SA14,SA13,SA16,,,,,,05938,01500,02845,,,,,
PI0994,2019,SA10,SA14,SA12,SA16,,,,,05000,01980,07462,05345,,,,
PI0995,2019,SA01,SA12,SA05,,,,,,01170,08262,01000,,,,,
PI0998,2019,SA12,,,,,,,,08262,,,,,,,
PI0999,2019,SA12,SA13,SA16,,,,,,07462,01250,04145,,,,,
PI1000,2019,SA25,,,,,,,,50905,,,,,,,
PI1002,2019,SA14,SA12,,,,,,,02611,08262,,,,,,
PI1005,2019,SA14,,,,,,,,06432,,,,,,,
PI1006,2019,SA14,,,,,,,,02969,,,,,,,
PI1011,2019,SA14,SA13,SA16,SA19,,,,,00990,00500,03048,04020,,,,
PI1012,2019,SA14,SA12,,,,,,,07422,07462,,,,,,
PI1013,2019,SA01,,,,,,,,01357,,,,,,,
PI1017,2019,SA14,SA12,SA16,SA17,SA19,,,,01980,07862,06095,01000,08057,,,
PI1020,2019,SA15,SA04,,,,,,,15500,11949,,,,,,
PI1021,2019,SA01,SA12,,,,,,,01550,08262,,,,,,
PI1023,2019,SA07,SA12,,,,,,,01230,07862,,,,,,
PI1028,2019,SA12,,,,,,,,08262,,,,,,,
PI1030,2019,SA14,SA12,,,,,,,07422,07462,,,,,,
PI1033,2019,SA12,,,,,,,,06156,,,,,,,
PI1035,2019,SA09,SA12,,,,,,,00500,08262,,,,,,
PI1036,2019,SA14,,,,,,,,01980,,,,,,,
PI1038,2019,SA14,SA16,SA22,,,,,,01980,06095,03335,,,,,
PI1040,2019,SA02,SA14,,,,,,,01421,01980,,,,,,
PI1042,2019,SA14,,,,,,,,20129,,,,,,,
PI1044,2019,SA15,,,,,,,,03500,,,,,,,
PI1048,2019,SA14,,,,,,,,20282,,,,,,,
PI1049,2019,SA15,,,,,,,,20143,,,,,,,
PI1055,2019,SA04,,,,,,,,19980,,,,,,,
PI1057,2019,SA12,SA16,SA19,,,,,,07862,06095,08049,,,,,
PI1058,2019,SA22,,,,,,,,03335,,,,,,,
PI1060,2019,SA12,,,,,,,,07462,,,,,,,
PI1064,2019,SA14,,,,,,,,01980,,,,,,,
PI1066,2019,SA15,,,,,,,,14500,,,,,,,
PI1071,2019,SA12,,,,,,,,07462,,,,,,,
PI1072,2019,SA14,SA12,,,,,,,05442,07462,,,,,,
PI1077,2019,SA12,,,,,,,,08262,,,,,,,
